MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
AFR2035,AFR,2,2021-07-24T01:52:44Z,Erika P,Win,10,5,5,FALSE,2-1,6,FALSE
AFR2035,AFR,2,2021-07-24T01:52:44Z,Michael M,Loss,9,3,6,FALSE,2-1,6,FALSE
AFR2036,AFR,2,2021-07-24T02:35:04Z,Justin P,Win,7,4,3,FALSE,2-1,6,FALSE
AFR2036,AFR,2,2021-07-24T02:35:04Z,Michael M,Loss,10,3,7,FALSE,2-1,6,FALSE
AFR2037,AFR,2,2021-07-24T03:26:13Z,Justin P,Win,8,5,3,FALSE,2-0,6,FALSE
AFR2037,AFR,2,2021-07-24T03:26:13Z,Francesco V,Loss,4,2,2,FALSE,2-0,6,FALSE
AFR2038,AFR,2,2021-07-24T10:28:18Z,Eric S,Win,6,2,4,FALSE,2-1,6,FALSE
AFR2038,AFR,2,2021-07-24T10:28:18Z,Chris R,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2039,AFR,2,2021-07-24T11:16:25Z,Austin C,Win,6,4,2,FALSE,2-1,6,FALSE
AFR2039,AFR,2,2021-07-24T11:16:25Z,Serge T,Loss,6,2,4,FALSE,2-1,6,FALSE
AFR2040,AFR,2,2021-07-24T11:40:08Z,Will M,Win,7,5,2,FALSE,2-1,6,FALSE
AFR2040,AFR,2,2021-07-24T11:40:08Z,Pierre-Marc D,Loss,10,5,5,FALSE,2-1,6,FALSE
AFR2041,AFR,2,2021-07-24T11:49:53Z,David S,Win,7,5,2,FALSE,2-0,6,FALSE
AFR2041,AFR,2,2021-07-24T11:49:53Z,Austin C,Loss,7,4,3,FALSE,2-0,6,FALSE
AFR2042,AFR,2,2021-07-24T12:43:31Z,David S,Win,8,6,2,FALSE,2-0,6,FALSE
AFR2042,AFR,2,2021-07-24T12:43:31Z,Caleb G,Loss,9,4,5,FALSE,2-0,6,FALSE
AFR2043,AFR,2,2021-07-24T14:01:59Z,James B,Win,6,3,3,FALSE,2-0,6,FALSE
AFR2043,AFR,2,2021-07-24T14:01:59Z,David S,Loss,9,6,3,FALSE,2-0,6,FALSE
AFR2044,AFR,2,2021-07-24T15:51:35Z,David S,Win,10,7,3,FALSE,2-0,6,FALSE
AFR2044,AFR,2,2021-07-24T15:51:35Z,Richard K,Loss,7,4,3,FALSE,2-0,6,FALSE
AFR2045,AFR,2,2021-07-24T17:02:06Z,Damian S,Win,8,3,5,FALSE,2-1,6,FALSE
AFR2045,AFR,2,2021-07-24T17:02:06Z,Jeremy E,Loss,9,3,6,FALSE,2-1,6,FALSE
AFR2046,AFR,2,2021-07-24T17:30:15Z,Kevin O,Win,5,3,2,FALSE,2-1,6,FALSE
AFR2046,AFR,2,2021-07-24T17:30:15Z,Ken M,Loss,6,2,4,FALSE,2-1,6,FALSE
AFR2047,AFR,2,2021-07-24T18:47:30Z,Richard K,Win,8,5,3,FALSE,2-1,6,FALSE
AFR2047,AFR,2,2021-07-24T18:47:30Z,Jeremy E,Loss,10,3,7,FALSE,2-1,6,FALSE
AFR2048,AFR,2,2021-07-24T18:50:56Z,Johnny M,Win,6,4,2,FALSE,2-0,6,FALSE
AFR2048,AFR,2,2021-07-24T18:50:56Z,Serge T,Loss,7,2,5,FALSE,2-0,6,FALSE
AFR2049,AFR,2,2021-07-24T20:25:54Z,Ken M,Win,7,3,4,FALSE,2-1,6,FALSE
AFR2049,AFR,2,2021-07-24T20:25:54Z,John P,Loss,9,3,6,FALSE,2-1,6,FALSE
AFR2050,AFR,2,2021-07-24T20:30:50Z,Johnny M,Win,7,5,2,FALSE,2-0,6,FALSE
AFR2050,AFR,2,2021-07-24T20:30:50Z,Rick N,Loss,3,0,3,FALSE,2-0,6,FALSE
AFR2051,AFR,2,2021-07-24T20:55:25Z,Cameron K,Win,4,2,2,FALSE,2-0,6,FALSE
AFR2051,AFR,2,2021-07-24T20:55:25Z,Will M,Loss,8,5,3,FALSE,2-0,6,FALSE
AFR2052,AFR,2,2021-07-24T21:12:29Z,Johnny M,Win,8,6,2,FALSE,2-0,6,FALSE
AFR2052,AFR,2,2021-07-24T21:12:29Z,Cameron K,Loss,5,2,3,FALSE,2-0,6,FALSE
AFR2053,AFR,2,2021-07-24T21:43:58Z,Johnny M,Win,9,7,2,FALSE,2-0,6,FALSE
AFR2053,AFR,2,2021-07-24T21:43:58Z,Duran V,Loss,5,1,4,FALSE,2-0,6,FALSE
