Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
6/30/2023 19:20:47,Pierre-Marc D - pmduguay#67919,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,
6/30/2023 19:25:59,Kevin I - kni1993#29285,Philip B - Plipster#75000,2-0,,1,,,,,,
6/30/2023 19:48:14,Johnny M - Johnny#69519,Wesley L - weslars#49889,2-0,,1,,,,,,
6/30/2023 19:52:44,Philip B - Plipster#75000,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,
6/30/2023 20:01:43,Dan K - Fizishy#82483,Pierre-Marc D - pmduguay#67919,2-1,,1,,,,,,
6/30/2023 20:29:36,Dan K - Fizishy#82483,Wesley L - weslars#49889,2-0,,1,,,,,,
6/30/2023 20:36:01,Kevin I - kni1993#29285,Trevor F - treskies#75643,2-0,,1,,,,,,
6/30/2023 20:58:58,Pierre-Marc D - pmduguay#67919,Sawyer T - soyboy#35469,2-1,,1,,,,,,
6/30/2023 22:53:53,Ryan D - TheSlickness#10857,Phillip M - Fat_kitty#63794,2-1,,1,,,,,,
6/30/2023 23:28:15,Evan C - PeasOfCrab#00133,Bob P - HIT#08120,2-0,,1,,,,,,
6/30/2023 23:42:45,Ryan D - TheSlickness#10857,John B - Vasilas#78257,2-1,,1,,,,,,
7/1/2023 0:01:53,Bob P - HIT#08120,Pierre-Marc D - pmduguay#67919,2-0,,1,GGs!,,,,,
7/1/2023 0:33:42,Caleb G - Whynaut#28590,Ryan D - TheSlickness#10857,2-1,,1,,,,,,
7/1/2023 1:43:37,Steve T - strout#45062,Pedro D - Goombassa#17203,2-0,,1,GGs!,,,,,
7/1/2023 2:40:26,Steve T - strout#45062,Zeke W - smarmyplatapus#30066,2-1,,1,GGs!,,,,,
7/1/2023 12:29:49,Philip B - Plipster#75000,Pedro D - Goombassa#17203,2-1,,1,,,,,,
7/1/2023 12:50:58,Nik S - njsiii#50504,Pedro D - Goombassa#17203,2-1,,1,,,,,,
7/1/2023 12:57:40,Wesley L - weslars#49889,Serge T - Sergyboy514#39979,2-1,,1,,,,,,
7/1/2023 13:26:15,Wesley L - weslars#49889,Nik S - njsiii#50504,2-0,,1,,,,,,
7/1/2023 13:34:08,Pedro D - Goombassa#17203,Jack H - Rakic#98298,2-0,,1,GGs,,,,,
7/1/2023 13:53:35,Johnny M - Johnny#69519,Dan K - Fizishy#82483,2-0,,1,,,,,,
7/1/2023 14:08:35,Paul G - TheDragon#61289,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,,,,
7/1/2023 14:09:32,Wesley L - weslars#49889,Pedro D - Goombassa#17203,2-1,,1,,,,,,
7/1/2023 14:35:28,Michael M - Atombomb11991#07305,James S - Zoid#33631,2-1,,1,,,,,,
7/1/2023 14:37:45,Jack H - Rakic#98298,Johnny M - Johnny#69519,2-0,,1,,,,,,
7/1/2023 14:51:31,Dan A - BEATDOWNBRINGA#04779,Philip B - Plipster#75000,2-1,,1,,,,,,
7/1/2023 14:53:35,Cody-Rayce MG - Rayce#56572,Lotte P - Lotte #93345,2-1,,1,ggs! dragonbat!,,,,,
7/1/2023 15:04:06,Johnny M - Johnny#69519,James S - Zoid#33631,2-0,,1,,,,,,
7/1/2023 15:05:10,Jack H - Rakic#98298,Michael M - Atombomb11991#07305,2-0,,1,,,,,,
7/1/2023 15:06:45,Nik S - njsiii#50504,Dan K - Fizishy#82483,2-1,,1,,,,,,
7/1/2023 15:28:06,James S - Zoid#33631,Lotte P - Lotte #93345,2-0,,1,,,,,,
7/1/2023 15:48:05,Dan A - BEATDOWNBRINGA#04779,Jack H - Rakic#98298,2-0,,1,,,,,,
7/1/2023 16:18:18,Dan K - Fizishy#82483,Caleb G - Whynaut#28590,2-1,,1,,,,,,
7/1/2023 16:35:27,Lotte P - Lotte #93345,Wyatt C - hotdolphin#30769,2-1,,1,,,,,,
7/1/2023 17:07:38,Lotte P - Lotte #93345,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,
7/1/2023 17:25:03,Rafael F - Prudent#24319,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,,,
7/1/2023 17:25:49,Michael B - Monkeymage#12141,Sawyer T - soyboy#35469,2-1,,1,,,,,,
7/1/2023 17:34:02,Jack H - Rakic#98298,Lotte P - Lotte #93345,2-1,,1,,,,,,
7/1/2023 17:54:11,Jack H - Rakic#98298,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,
7/1/2023 18:54:28,Dan A - BEATDOWNBRINGA#04779,Kevin I - kni1993#29285,2-1,,1,,,,,,
7/1/2023 20:02:24,James S - Zoid#33631,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,
7/1/2023 21:03:25,Jeremy E - Lhurgoyf#37289,Kevin I - kni1993#29285,2-1,,1,,,,,,
7/1/2023 23:01:49,James S - Zoid#33631,Bob P - HIT#08120,2-0,,1,,,,,,
7/1/2023 23:38:36,Steve T - strout#45062,Bob P - HIT#08120,2-1,,1,GGs!,,,,,
7/2/2023 0:01:54,Steve T - strout#45062,Jacob V - Drysle#29533,2-0,,1,GGs!,,,,,
7/2/2023 9:42:42,Bob P - HIT#08120,Adam S - wizma#29010,2-0,,1,,,,,,
7/2/2023 11:48:42,Cody-Rayce MG - Rayce#56572,John B - Vasilas#78257,2-0,,1,ggs wp!,,,,,
7/2/2023 12:16:50,Ryan D - TheSlickness#10857,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,,,
7/2/2023 12:58:25,Ryan D - TheSlickness#10857,Reed P - bigfingsnake#86869,2-0,,1,,,,,,
7/2/2023 13:55:07,Wyatt C - hotdolphin#30769,Daniel G - Friskyhobbit#43185,2-1,,1,,,,,,
7/2/2023 13:56:00,John P - gokuorgohome#51511,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,
7/2/2023 14:22:56,Daniel G - Friskyhobbit#43185,Jacob V - Drysle#29533,2-0,,1,,,,,,
7/2/2023 14:39:35,Reed P - bigfingsnake#86869,Chris Y - Yorke on Games#66909,2-1,,1,,,,,,
7/2/2023 14:55:07,Trevor F - treskies#75643,Jacob V - Drysle#29533,2-0,,1,,,,,,
7/2/2023 14:56:28,John P - gokuorgohome#51511,Daniel G - Friskyhobbit#43185,2-0,,1,,,,,,
7/2/2023 14:57:28,Nicholas K - Bionick#55161,Mike P - unwieldybiscuit#26471,2-1,,1,,,,,,
7/2/2023 14:58:38,Reed P - bigfingsnake#86869,Matthew K - Tortag#62633,2-0,,1,,,,,,
