Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
1/13/2023 18:21:07,Steve T - strout#45062,Vincent T - tvincent#37802,2-1,,1,,,
1/13/2023 18:29:20,Chris F - cferejohn#08269,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
1/13/2023 18:32:21,Paul G - TheDragon#61289,Damian S - ButCrackMagic#71223,2-0,,1,,,
1/13/2023 18:52:54,Jake C - the_man_mulcahey#74753,Rafael F - Prudent#24319,2-0,,1,,,
1/13/2023 18:57:53,Sawyer T - soyboy#35469,Maranda L - BlackCanary#59791,2-0,,1,,,
1/13/2023 19:06:47,Zach C - ZachCarr#31881,Chris F - cferejohn#08269,2-0,,1,,,
1/13/2023 19:15:47,Tony G - YnotRock#76764,Zeke W - smarmyplatapus#30066,2-1,,1,,,
1/13/2023 19:29:21,Dan A - BEATDOWNBRINGA#04779,Rafael F - Prudent#24319,2-1,,1,,,
1/13/2023 19:31:30,Jake C - the_man_mulcahey#74753,Zeke W - smarmyplatapus#30066,2-0,,1,,,
1/13/2023 19:51:41,Trevor F - treskies#75643,Cody-Rayce MG - Rayce#56572,2-1,,1,,,
1/13/2023 20:38:29,Cody-Rayce MG - Rayce#56572,Brendan Y - Earthmover#56028,2-0,,1,ggs mana ;_;,,
1/13/2023 20:47:24,Sawyer T - soyboy#35469,Steve T - strout#45062,2-0,,1,,,
1/13/2023 21:02:18,James MI - ImJolt#28410,Caleb G - Whynaut#28590,2-1,,1,,,
1/13/2023 21:05:19,Dan A - BEATDOWNBRINGA#04779,Emmett F - Sepulchure#51526,2-1,,1,,,
1/13/2023 21:07:17,Jordan M - JMTron#46639,Serge T - Sergyboy514#39979,2-0,,1,,,
1/13/2023 21:10:35,Sawyer T - soyboy#35469,Brendan Y - Earthmover#56028,2-0,,1,,,
1/13/2023 21:34:04,John P - gokuorgohome#51511,Kevin I - kni1993#29285,2-1,,1,,,
1/13/2023 21:41:30,Sawyer T - soyboy#35469,Zach C - ZachCarr#31881,2-0,,1,,,
1/13/2023 21:44:12,Jonathan R - Jraps#79124,Vincent T - tvincent#37802,2-1,,1,,,
1/13/2023 21:59:17,Brendan Y - Earthmover#56028,Emmett F - Sepulchure#51526,2-1,,1,,,
1/13/2023 22:15:15,Kevin I - kni1993#29285,Ryan D - TheSlickness#10857,2-1,,1,Gg,,
1/13/2023 22:15:47,Jonathan R - Jraps#79124,Sawyer T - soyboy#35469,2-0,,1,,,
1/13/2023 22:27:00,Zach C - ZachCarr#31881,Dan K - Fizishy#82483,2-1,,1,,,
1/13/2023 22:37:38,Emmett F - Sepulchure#51526,Jonathan R - Jraps#79124,2-0,,1,,,
1/13/2023 22:41:45,Johnny M - Johnny#69519,Chris Y - Yorke on Games#66909,2-0,,1,,,
1/13/2023 23:11:55,Jordan M - JMTron#46639,Vincent T - tvincent#37802,2-1,,1,,,
1/13/2023 23:29:47,Emmett F - Sepulchure#51526,Shawn R - chuckygr#53420,2-1,,1,,,
1/13/2023 23:32:55,Steve T - strout#45062,Hugo D - HDila#61011,2-0,,1,,,
1/13/2023 23:35:54,Tony G - YnotRock#76764,Côme S - C_SM#79564,2-1,,1,,,
1/13/2023 23:54:53,Justin P - Code Pigeon#84057,Dan K - Fizishy#82483,2-0,,1,,,
1/14/2023 0:31:29,Justin P - Code Pigeon#84057,Emmett F - Sepulchure#51526,2-0,,1,,,
1/14/2023 0:35:10,Dan K - Fizishy#82483,Nicholas K - Bionick#55161,2-0,,1,,,
1/14/2023 0:41:30,Hugo D - HDila#61011,Paul S - YungChunk#45977,2-0,,1,ggs,,
1/14/2023 0:54:08,Johnny M - Johnny#69519,Nicholas K - Bionick#55161,2-0,,1,,,
1/14/2023 1:00:04,Steve T - strout#45062,Rafael F - Prudent#24319,2-1,,1,,,
1/14/2023 1:08:48,Justin P - Code Pigeon#84057,Nicholas K - Bionick#55161,2-0,,1,,,
1/14/2023 1:14:43,Dan K - Fizishy#82483,Paul S - YungChunk#45977,2-0,,1,,,
1/14/2023 1:55:14,Rafael F - Prudent#24319,Trevor F - treskies#75643,2-1,,1,Nail biting series gg,,
1/14/2023 1:57:59,Nicholas K - Bionick#55161,Adam S - wizma#29010,2-1,,1,gg man. thanks for the morale support,,
1/14/2023 3:15:52,Hugo D - HDila#61011,Justin P - Code Pigeon#84057,2-1,,1,gg,,
1/14/2023 3:56:26,Michael M - Atombomb11991#07305,Justin P - Code Pigeon#84057,2-0,,1,,,
1/14/2023 4:49:24,Paul G - TheDragon#61289,Jesse R - Zephaer#38941,2-1,,1,,,
1/14/2023 8:57:39,Tony G - YnotRock#76764,Kevin I - kni1993#29285,2-1,,1,,,
1/14/2023 9:24:23,John R - Ged#72302,Noel S - Stopgap#13873,2-0,,1,GGS,,
1/14/2023 9:46:29,Johnny M - Johnny#69519,Kevin I - kni1993#29285,2-1,,1,,,
1/14/2023 10:09:19,Jesse R - Zephaer#38941,Nik S - njsiii#50504,2-1,,1,L,,
1/14/2023 10:45:32,John P - gokuorgohome#51511,Noel S - Stopgap#13873,2-1,,1,called me out for not playing two colors,,
1/14/2023 10:46:48,Lotte P - Lotte #93345,Nik S - njsiii#50504,2-0,,1,,,
1/14/2023 11:17:56,Richard K - preacher26#59445,Nik S - njsiii#50504,2-0,,1,,,
1/14/2023 11:39:28,Lotte P - Lotte #93345,Paul G - TheDragon#61289,2-1,,1,,,
1/14/2023 11:54:02,Nik S - njsiii#50504,Duran V - SuperD#94636,2-0,,1,,,
1/14/2023 12:28:51,Richard K - preacher26#59445,Daniel G - FriskyHobbit#43185,2-1,,1,,,
1/14/2023 12:30:42,Nicholas K - Bionick#55161,Mike P - UnwieldyBiscuit#26471,2-1,,1,,,
1/14/2023 12:43:22,Dan K - Fizishy#82483,Nik S - njsiii#50504,2-1,,1,,,
1/14/2023 12:59:42,Shawn R - chuckygr#53420,Daniel G - FriskyHobbit#43185,2-0,,1,,,
1/14/2023 13:38:10,Evan C - PeasOfCrab#00133,Chris Y - Yorke on Games#66909,2-1,,1,,,
1/14/2023 14:01:35,Daniel G - FriskyHobbit#43185,Nicholas P - Ami3vil?#84889,2-0,,1,,,
1/14/2023 14:47:43,Jake C - the_man_mulcahey#74753,Nicholas P - Ami3vil?#84889,2-1,,1,,,
1/14/2023 15:01:49,Chris Y - Yorke on Games#66909,Lotte P - Lotte #93345,2-1,,1,Dead Kitties,,
1/14/2023 15:02:04,Daniel G - FriskyHobbit#43185,Jesse R - Zephaer#38941,2-1,,1,,,
1/14/2023 15:58:19,Amir A - HowDoesOneChoose#47480,Jake C - the_man_mulcahey#74753,2-0,,1,,,
1/14/2023 16:01:48,Jesse R - Zephaer#38941,John P - gokuorgohome#51511,2-0,,1,E,,
1/14/2023 16:27:46,Jake C - the_man_mulcahey#74753,Jordan M - JMTron#46639,2-0,,1,,,
1/14/2023 16:36:15,John P - gokuorgohome#51511,Tony G - YnotRock#76764,2-1,,1,,,
1/14/2023 17:06:02,Lotte P - Lotte #93345,Caleb G - Whynaut#28590,2-1,,1,,,
1/14/2023 17:44:18,Caleb G - Whynaut#28590,Vincent T - tvincent#37802,2-1,,1,,,
1/14/2023 18:41:24,Caleb G - Whynaut#28590,Trevor F - treskies#75643,2-0,,1,,,
