Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
6/14/2023 16:26:21,Tony G - YnotRock#76764,Paul G - TheDragon#61289,2-1,,1,,,,
6/14/2023 16:44:43,Richard K - preacher26#59445,Damian S - ButCrackMagic#71223,2-1,,1,,,,
6/14/2023 17:24:08,Maxime R - Tasigurr#89921,Richard K - preacher26#59445,2-1,,1,,,,
6/14/2023 19:32:04,Jake C - the_man_mulcahey#74753,Maxime R - Tasigurr#89921,2-0,,1,,,,
6/14/2023 20:04:02,Jake C - the_man_mulcahey#74753,Shane S - Master Shane#35185,2-1,,1,,,,
6/14/2023 20:42:46,Joaquin E - DiabolicMachine#23891,Michael M - Atombomb11991#07305,2-0,,1,,,,
6/14/2023 21:21:18,Mitchel S - SpaghettiMitch#18619,Michael M - Atombomb11991#07305,2-0,,1,,,,
6/14/2023 23:03:41,Steve T - strout#45062,Darwin K - darwhims#52188,2-0,,1,GGs!,,,
6/14/2023 23:05:31,Damian S - ButCrackMagic#71223,Jake C - the_man_mulcahey#74753,2-0,,1,,,,
6/14/2023 23:13:56,Maranda L - blackcanary#59791,Dustin D - Bloone#16018,2-1,,1,,,,
6/14/2023 23:47:43,Sawyer T - soyboy#35469,Damian S - ButCrackMagic#71223,2-1,,1,,,,
6/14/2023 23:54:57,Darwin K - darwhims#52188,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,
6/15/2023 0:01:23,Shane S - Master Shane#35185,Dustin D - Bloone#16018,2-0,,1,,,,
6/15/2023 9:16:50,Cody D - Ellimist#31769,Connor H - Clhis#08294,2-1,,1,,,,
6/15/2023 9:53:25,Cody D - Ellimist#31769,Joaquin E - DiabolicMachine#23891,2-0,,1,,,,
6/15/2023 14:15:47,Joaquin E - DiabolicMachine#23891,John R - Ged#72302,2-1,,1,,,,
6/15/2023 15:12:29,Adam S - wizma#29010,Tony G - YnotRock#76764,2-0,,1,Good games!,,,
6/15/2023 17:08:47,Jaidin M - MnemonicDevice#38774,Rafael F - Prudent#24319,2-0,,1,,,,
6/15/2023 17:39:05,Jaidin M - MnemonicDevice#38774,Darwin K - darwhims#52188,2-0,,1,,,,
6/15/2023 17:48:34,Johnny M - Johnny#69519,Richard K - preacher26#59445,2-1,,1,,,,
6/15/2023 19:27:10,Caleb G - Whynaut#28590,Rafael F - Prudent#24319,2-0,,1,,,,
6/15/2023 21:40:11,Reed P - bigfingsnake#86869,James S - TortillaThePun#11942,2-1,,1,,,,
6/15/2023 22:15:35,Sawyer T - soyboy#35469,Wyatt C - hotdolphin#30769,2-0,,1,,,,
6/15/2023 22:47:40,Shane S - Master Shane#35185,Adam S - wizma#29010,2-0,,1,Re-entered as correction,,,
6/16/2023 0:30:22,Jordan M - JMTron#46639,Shane S - Master Shane#35185,2-0,,1,,,,
6/16/2023 1:35:02,Nathan W - Topographology#26363,Shane S - Master Shane#35185,2-0,,1,,,,
6/16/2023 9:51:50,John R - Ged#72302,Tony G - YnotRock#76764,2-1,,1,ggs,,,
6/16/2023 14:08:04,Jaidin M - MnemonicDevice#38774,Johnny M - Johnny#69519,2-0,,1,,,,
