Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
4/13/2023 14:39:25,Daniel G - FriskyHobbit#43185,Anthony S - Kingboars#88381,2-0,,1,,,
4/13/2023 14:56:23,Daniel M - HPWizard#40332,Maranda L - BlackCanary#59791,2-1,,1,,,
4/13/2023 15:20:32,Daniel M - HPWizard#40332,Daniel G - FriskyHobbit#43185,2-0,,1,,,
4/13/2023 15:34:41,Anthony S - Kingboars#88381,Serge T - Sergyboy514#39979,2-0,,1,,,
4/13/2023 16:09:22,Anthony S - Kingboars#88381,Daniel M - HPWizard#40332,2-0,,1,,,
4/13/2023 16:50:16,Richard K - preacher26#59445,Daniel M - HPWizard#40332,2-0,,1,,,
4/13/2023 17:38:11,Adam S - wizma#29010,Mitchel S - SpaghettiMitch#18619,2-1,,1,Great games!,,
4/13/2023 18:21:29,Chris R - Sinkwater#27508,Christopher G - oompaloompa#65002,2-1,,1,,,
4/13/2023 20:50:43,Jake C - The_man_mulcahey#74753,Sawyer T - soyboy#35469,2-1,,1,Close games yeesh,,
4/14/2023 0:45:02,Maranda L - BlackCanary#59791,Trevor F - treskies#75643,2-1,,1,,,
4/14/2023 1:15:03,Jaidin M - MnemonicDevice#38774,Tony G - YnotRock#76764,2-1,,1,Close games!,,
4/14/2023 1:50:22,Jaidin M - MnemonicDevice#38774,Trevor F - treskies#75643,2-1,,1,ggs!,,
4/14/2023 9:59:58,,,,,1,misreported match,,
4/14/2023 10:04:54,Rafael F - Prudent#24319,Josh G - MrDoops#24495,2-1,,1,,,
4/14/2023 11:42:57,Christopher G - oompaloompa#65002,Rafael F - Prudent#24319,2-0,,1,,,
4/14/2023 14:23:42,Emmett F - Sepulchure#51526,Tony G - YnotRock#76764,2-0,,1,,,
4/14/2023 14:44:29,Tony G - YnotRock#76764,Adam S - wizma#29010,2-0,,1,,,
4/14/2023 15:07:49,Daniel G - FriskyHobbit#43185,Tony G - YnotRock#76764,2-0,,1,,,
4/14/2023 15:11:52,Emmett F - Sepulchure#51526,Maranda L - BlackCanary#59791,2-0,,1,,,
4/14/2023 16:33:00,Evan C - PeasOfCrab#00133,Jaidin M - MnemonicDevice#38774,2-1,,1,,,
4/14/2023 17:28:01,Doug Co - daceris#24713,Chris P - Joker01#66827,2-1,,1,,,
4/14/2023 17:31:34,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-0,,1,,,
4/14/2023 17:56:56,Paul G - TheDragon#61289,John P - gokuorgohome#51511,2-1,,1,,,
4/14/2023 18:03:41,Shuo L - Tamamo#30654,Chris P - Joker01#66827,2-0,,1,,,
4/14/2023 18:32:57,Nik S - njsiii#50504,Jake C - The_man_mulcahey#74753,2-1,,1,,,
4/14/2023 18:35:43,Evan C - PeasOfCrab#00133,Caleb G - Whynaut#28590,2-0,,1,,,
4/14/2023 18:54:24,Shuo L - Tamamo#30654,Caleb G - Whynaut#28590,2-0,,1,,,
4/14/2023 19:11:04,Dan A - BEATDOWNBRINGA#04779,Damian S - ButCrackMagic#71223,2-1,,1,,,
