Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
4/24/2023 22:33:38,David R - Roooster#49289,Bill D - Cato Phoenix#70805,2-0,,1,,STX,,
4/24/2023 22:50:03,Evan C - PeasOfCrab#00133,Eric S - Smitte#94855,2-1,,1,,MOM,,
4/24/2023 23:02:08,Lisa T - Amelli#58421,Ron C - lennor#52740,2-0,,1,,DOM,,
4/24/2023 23:15:15,Bill D - Cato Phoenix#70805,Stephen W - Biceps_Inc#28236,2-0,,1,,WAR,,
4/25/2023 10:14:15,Lisa T - Amelli#58421,Cody M - DeadheadCody#60535,2-0,,1,Resubmit due to incorrect pack,BRO,,
4/25/2023 12:55:04,Noah B - Sisco#71800,John R - Ged#72302,2-0,,1,,MOM,,
4/25/2023 14:10:09,Chris P - Joker01#66827,John R - Ged#72302,2-1,,1,,MOM,,
4/25/2023 14:40:16,John R - Ged#72302,Troy R - Pengwin#05127,2-1,,1,ggs,IKO,,
4/25/2023 14:53:03,Sean Sp - Talrand#06333,Chris P - Joker01#66827,2-1,,1,,MOM,,
4/25/2023 15:50:56,Chris P - Joker01#66827,Josh G - MrDoops#24495,2-0,,1,,MOM,,
4/25/2023 16:51:56,Warren M - LinkThePlaneswalker33#61905,Sean Sp - Talrand#06333,2-0,,1,,MOM,,
4/25/2023 18:07:04,Cody-Rayce MG - Rayce#56572,Jaidin M - MnemonicDevice#38774,2-1,,1,ggs weird stip,MOM,,
4/25/2023 18:53:49,Shane K - Malfunktion#31013,Josh G - MrDoops#24495,2-0,,1,,MOM,,
4/25/2023 21:15:44,Thaddeus G - uncapitalized#64977,Serge T - Sergyboy514#39979,2-1,,1,,DOM,,
4/25/2023 21:17:18,Chris O - TheAlphabet#27489,Ryan D - TheSlickness#10857,2-1,,1,,MOM,,
4/25/2023 21:28:04,Cody-Rayce MG - Rayce#56572,Michael M - Atombomb11991#07305,2-1,,1,ggs wp pauper stip,WAR,,
4/25/2023 22:26:27,Chris R - Sinkwater#27508,Lisa T - Amelli#58421,2-0,,1,,WAR,,
4/25/2023 22:51:13,Thaddeus G - uncapitalized#64977,Brendan Y - Earthmover#56028,2-1,,1,,WAR,,
4/25/2023 23:09:56,Sean Sp - Talrand#06333,Eric S - Smitte#94855,2-1,,1,,MOM,,
4/26/2023 13:20:01,Jake C - the_man_mulcahey#74753,Shane K - Malfunktion#31013,2-0,,1,,MOM,,
4/26/2023 17:33:04,Thaddeus G - uncapitalized#64977,Chris R - Sinkwater#27508,2-0,,1,,MOM,,
4/26/2023 17:39:09,Noah B - Sisco#71800,Richard K - preacher26#59445,2-1,,1,,MOM,,
4/26/2023 18:50:51,Chris R - Sinkwater#27508,Richard K - preacher26#59445,2-0,,1,,MOM,,
4/26/2023 21:03:19,Maranda L - BlackCanary#59791,Trevor F - treskies#75643,2-0,,1,,MOM,,
4/26/2023 22:17:28,Mike P - UnwieldyBiscuit#26471,Nicholas K - Bionick#55161,2-1,,1,,MOM,,
4/26/2023 22:37:21,Sean Sp - Talrand#06333,Mike P - UnwieldyBiscuit#26471,2-1,,1,,MOM,,
4/26/2023 23:00:37,Nicholas K - Bionick#55161,Sean Sp - Talrand#06333,2-1,,1,,MOM,,
4/27/2023 0:05:28,Maranda L - BlackCanary#59791,James S - TortillaThePun#11942,2-0,,1,,SIR,,
4/27/2023 15:47:34,Jordan M - JMTron#46639,Doug Co - daceris#24713,2-0,,1,,MOM,,
4/27/2023 16:08:55,Doug Co - daceris#24713,Josh G - MrDoops#24495,2-0,,1,,MOM,,
4/27/2023 17:22:07,James S - TortillaThePun#11942,John R - Ged#72302,2-1,,1,,MOM,,
4/27/2023 17:38:49,James S - TortillaThePun#11942,Chris R - Sinkwater#27508,2-0,,1,,MOM,,
4/27/2023 17:46:25,Chris P - Joker01#66827,Lisa T - Amelli#58421,2-0,,1,,MOM,,
4/27/2023 18:24:48,Richard K - preacher26#59445,Christopher G - oompaloompa#65002,2-1,,1,,DMU,,
4/27/2023 19:00:08,Christopher G - oompaloompa#65002,Emmett F - Sepulchure#51526,2-1,,1,,MOM,,
4/27/2023 19:59:23,Trevor F - treskies#75643,James S - TortillaThePun#11942,2-1,,1,,MOM,,
4/27/2023 21:32:39,JP G - jaypiex#97612,James S - TortillaThePun#11942,2-0,,1,,MOM,,
4/27/2023 22:03:05,Stephen W - Biceps_Inc#28236,Christopher G - oompaloompa#65002,2-1,,1,,ELD,,
4/28/2023 1:40:43,Stephen W - Biceps_Inc#28236,Nathan W - topographology#26363,2-0,,1,,MOM,,
4/28/2023 10:24:39,Chris O - TheAlphabet#27489,Sylvain T - Iquitos#15484,2-0,,1,,IKO,,
4/28/2023 11:53:08,Russell S - rstad#89052,Trent B - Edgelord42069#62642,2-1,,1,,IKO,,
4/28/2023 12:28:48,Doug Co - daceris#24713,Trent B - Edgelord42069#62642,2-1,,1,,IKO,,
