Timestamp,Winner Name,Loser Name,Result,Notes,Script Handled,Messaged?
2/18/2025 13:44:14,Vasco M - motatom#50510,Jethro J - bigxjulius#88849,2-1,,1,1
2/18/2025 14:30:44,Chris P - Joker01#66827,Vasco M - motatom#50510,2-0,,1,1
2/18/2025 15:13:06,Jack F - jkfman101#84645,Dominic M - domdoes#32489,2-0,,1,1
2/18/2025 15:14:21,Eric S - smitte#94855,Wesley C - GigaVoltaic#11782,2-0,GGs,1,1
2/18/2025 15:57:22,Jeremy E - Lhurgoyf#37289,Eddie R - Lord Sorin#57773,2-0,,1,1
2/18/2025 16:29:29,Eddie R - Lord Sorin#57773,Richard K - preacher26#59445,2-0,,1,1
2/18/2025 17:08:37,Adam E - adamend#97520,Eddie R - Lord Sorin#57773,2-1,ggs!,1,1
2/18/2025 17:37:55,Vasco M - motatom#50510,Justin P - Code Pigeon#84057,2-1,,1,1
2/18/2025 18:25:18,Matthew H - Almost#13446,Eric S - smitte#94855,2-1,"GGs, unfortunate mole miss in g3",1,1
2/18/2025 18:49:23,Justin P - Code Pigeon#84057,John P - gokuorgohome#51511,2-0,,1,1
2/18/2025 19:48:44,Edgar A - PlayfulTerror#04926,Ryley Y - Organ#98816,2-0,ggs,1,1
2/18/2025 20:15:19,Daniel MS - DireWarning#24676,Ryley Y - Organ#98816,2-0,,1,1
2/18/2025 20:29:39,Justin P - Code Pigeon#84057,Matt F - MadeMyBus#92429,2-1,,1,1
2/18/2025 20:33:04,Matthew K - Tortag#62633,Rafael F - Prudent#24319,2-0,,1,1
2/18/2025 20:52:25,Daniel MS - DireWarning#24676,Mitchel S - SpaghettiMitch#18619,2-1,,1,1
2/18/2025 21:00:42,Lukas M - Finley_2k1#30925,Matthew K - Tortag#62633,2-0,,1,1
2/18/2025 21:36:42,Lukas M - Finley_2k1#30925,James Mc - Fireball#69952,2-1,,1,1
2/18/2025 22:46:21,Ryan H - Kitchensinks#50434,Nicholas K - Bionick#55161,2-0,,1,1
2/18/2025 23:25:25,Preston B - Vorbis#46420,Steve T - strout#45062,2-0,,1,1
2/18/2025 23:31:43,John D - DailyDraft#87013,Daniel G - FriskyHobbit#43185,2-1,,1,1
2/19/2025 0:54:47,Damian S - ButCrackMagic#71223,Sylvain T - Iquitos#15484,2-0,,1,1
2/19/2025 11:25:36,Zack H - HackZolt#31077,Ben M - cardmaaster#84341,2-0,GGs!,1,1
2/19/2025 12:16:26,Zeke W - smarmyplatapus#30066,Dominic M - domdoes#32489,2-0,ggs!,1,1
2/19/2025 12:29:23,Austin L - letschanator#96536,Ben M - cardmaaster#84341,2-1,,1,1
2/19/2025 12:33:42,Ryan H - Kitchensinks#50434,Adam E - adamend#97520,2-0,,1,1
2/19/2025 12:38:50,Austin L - letschanator#96536,Zeke W - smarmyplatapus#30066,2-0,,1,1
2/19/2025 13:00:44,Chris P - Joker01#66827,Nicholas K - Bionick#55161,2-0,,1,1
2/19/2025 13:49:00,Jack F - jkfman101#84645,John D - DailyDraft#87013,2-1,,1,1
2/19/2025 14:04:52,Adam E - adamend#97520,Chris O - Chriso91#46230,2-0,,1,1
2/19/2025 14:36:59,Ryan M - rrrn22#32842,Chris P - Joker01#66827,2-0,,1,1
2/19/2025 15:37:02,Ryan M - rrrn22#32842,Majo G - fortem#78609,2-0,,1,1
2/19/2025 17:00:02,John P - gokuorgohome#51511,Ryan M - rrrn22#32842,2-1,,1,1
2/19/2025 18:17:26,Tomás B - EverFightinDuck#44829,Jordan M - JMTron#46639,2-0,,1,1
