Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
10/28/2023 14:13:23,Jack H - Rakic#98298,Johnny M - Johnny#69519,2-1,,1,,,,,,,,
10/28/2023 14:22:00,John P - gokuorgohome#51511,Bob P - HIT#08120,2-1,,1,,,,,,,,
10/28/2023 14:35:43,Jacob V - Drysle#29533,Jack H - Rakic#98298,2-1,,1,,,,,,,,
10/28/2023 15:24:20,John P - gokuorgohome#51511,Jacob V - Drysle#29533,2-1,,1,,,,,,,,
10/28/2023 15:51:30,Damian S - ButCrackMagic#71223,Lotte P - Lotte #93345,2-1,,1,,,,,,,,
10/28/2023 16:08:14,Caleb G - Whynaut#28590,James S - Zoid#33631,2-1,,1,,,,,,,,
10/28/2023 16:25:43,John P - gokuorgohome#51511,Jack H - Rakic#98298,2-0,,1,,,,,,,,
10/28/2023 16:50:27,John P - gokuorgohome#51511,Caleb G - Whynaut#28590,2-1,,1,,,,,,,,
10/28/2023 17:11:12,Steve T - strout#45062,Dustin D - Bloone#16018,2-0,,1,GGs!,,,,,,,
10/28/2023 17:16:53,Maxime R - Tasigurr#89921,Colton S - Coltoncooper#56958,2-0,,1,,,,,,,,
10/28/2023 17:17:49,Jack H - Rakic#98298,Caleb G - Whynaut#28590,2-1,,1,time to A S C E N D,,,,,,,
10/28/2023 17:36:59,Jordan M - JMTron#46639,Damian S - ButCrackMagic#71223,2-0,,1,,,,,,,,
10/28/2023 17:37:30,Cody-Rayce MG - rayce#56572,Nik S - njsiii#50504,2-0,,1,ggs,,,,,,,
10/28/2023 17:47:13,Caleb G - Whynaut#28590,Jacob V - Drysle#29533,2-1,,1,,,,,,,,
10/28/2023 17:55:14,Maxime R - Tasigurr#89921,Damian S - ButCrackMagic#71223,2-1,,1,Go win that 2k in the open!,,,,,,,
10/28/2023 18:01:55,Caleb G - Whynaut#28590,Nik S - njsiii#50504,2-0,,1,,,,,,,,
10/28/2023 18:36:48,Jacob V - Drysle#29533,Kevin I - kni1993#29285,2-0,,1,,,,,,,,
10/28/2023 21:42:56,Maranda L - BlackCanary#59791,Eric S - Smitte#94855,2-0,,1,,,,,,,,
10/28/2023 21:50:08,Dustin D - Bloone#16018,Krzys H - FaceBeardMcBeard#24731,2-0,,1,,,,,,,,
10/28/2023 21:59:49,Chris R - Sinkwater#27508,Michael C - Kentari#73068,2-0,,1,,,,,,,,
10/28/2023 22:39:35,Bob P - HIT#08120,Eric S - Smitte#94855,2-1,,1,,,,,,,,
10/28/2023 22:41:51,Michael C - Kentari#73068,Maranda L - BlackCanary#59791,2-1,,1,ggs,,,,,,,
10/28/2023 22:55:31,Bob P - HIT#08120,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,,
10/28/2023 23:11:28,Maxime R - Tasigurr#89921,Dustin D - Bloone#16018,2-0,,1,,,,,,,,
10/29/2023 1:24:17,Noah B - Sisco#71800,David Z - zyqxD#77167,2-1,,1,,,,,,,,
10/29/2023 8:19:49,Eric S - Smitte#94855,John R - Ged#72302,2-1,,1,,,,,,,,
10/29/2023 9:03:33,James S - Zoid#33631,Kevin I - kni1993#29285,2-0,,1,,,,,,,,
10/29/2023 10:00:21,Joe T - elasticity#07466,Adam S - wizma#29010,2-0,,1,,,,,,,,
10/29/2023 10:36:53,Kevin I - kni1993#29285,Richard K - preacher26#59445,2-1,,1,,,,,,,,
10/29/2023 10:48:45,John R - Ged#72302,Joe T - elasticity#07466,2-1,,1,ggs! Fun games,,,,,,,
10/29/2023 11:32:10,Kevin I - kni1993#29285,John R - Ged#72302,2-1,,1,,,,,,,,
10/29/2023 16:12:52,Lotte P - Lotte #93345,James S - Zoid#33631,2-0,,1,,,,,,,,
10/29/2023 16:47:47,Mitchel S - SpaghettiMitch#18619,Thijn H - Thi-Jin#83537,2-1,,1,,,,,,,,
10/29/2023 17:00:07,Philip B - Plipster#75000,Wei C - Azayaka#83352,2-0,,1,,,,,,,,
10/29/2023 17:24:54,Chris R - Sinkwater#27508,Philip B - Plipster#75000,2-0,,1,,,,,,,,
10/29/2023 17:42:13,Lotte P - Lotte #93345,Thijn H - Thi-Jin#83537,2-1,,1,,,,,,,,
10/29/2023 18:24:52,Evan C - PeasOfCrab#00133,Robert M - LaughItUp#38462,2-1,,1,,,,,,,,
