Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/25/2025 15:40:59,Lotte P - Lotte #93345,Jamie W - Jamie#45846,2-0,,,,No,SNC,1,1,
5/25/2025 16:22:26,Nick A - Nistar#14127,John D - DailyDraft#87013,2-0,,,,Yes,NEO,1,1,
5/25/2025 17:39:37,Georgii C - Yasunori#84481,Troy A - Tadams54#66582,2-1,,,,No,BRO,1,1,
5/25/2025 17:45:54,Adam S - wizma#29010,Brett C - EwoksRBae#03223,2-0,,,Ggs! Thanks for the match!,No,BRO,1,1,
5/25/2025 18:30:04,John D - DailyDraft#87013,Miranda J - MajicMiranda#55720,2-1,,,,No,MID,1,1,
5/25/2025 19:21:36,Alexis M - Alexsfly#67052,Nick A - Nistar#14127,2-1,,,,No,DMU,1,1,
5/25/2025 19:38:46,Kole D - Kole#38870,Jake K - drizzy_jake#02350,2-1,,,,No,STX,1,1,
5/25/2025 20:44:11,Michael M - Atombomb11991#07305,Aaron B - Bevelman#18220,2-1,,,,Yes,SNC,1,1,
5/25/2025 20:44:45,Austin L - letschanator#96536,Kevin I - Kni1993#29285,2-0,,,,No,DMU,1,1,
5/25/2025 21:07:09,Stephen H - Crayth#38098,Jaidin M - MnemonicDevice#38774,2-0,,,GGs!,Yes,STX,1,1,
5/25/2025 21:08:47,Matthew G - iluvatar777#20638,Jordan M - JMTron#46639,2-0,,,ggs at the park!,Yes,STX,1,1,
5/25/2025 21:12:40,Austin L - letschanator#96536,Michael M - Atombomb11991#07305,2-1,,,,No,NEO,1,1,
5/25/2025 21:59:37,Nik S - njsiii#50504,Chris O - Chriso91#46230,2-1,,,,No,BRO,1,1,
5/25/2025 22:57:32,Daniel L - Yellfior#73187,Zack H - HackZolt#31077,2-1,,,GG WP!,No,SNC,1,1,
5/25/2025 23:13:27,Kole D - Kole#38870,Colton S - ColtonCooper#56958,2-1,,,,No,BRO,1,1,
5/25/2025 23:30:16,Nik S - njsiii#50504,Colton S - ColtonCooper#56958,2-1,,,,Yes,SNC,1,1,
5/26/2025 0:17:02,Nolan F - Mordor#75624,Joaquin E - DiabolicMachine#23891,2-1,,,,No,MID,1,1,
5/26/2025 0:21:27,Sylvain T - Iquitos#15484,Preston B - Vorbis#46420,2-1,,,GGs!,No,DMU,1,1,
5/26/2025 0:38:47,Chris Y - Yorke on Games#66909,Elliot H - blobby#99425,2-1,,,Grindfest!!,No,NEO,1,1,
5/26/2025 1:33:45,Elliot H - blobby#99425,Jamie W - Jamie#45846,2-1,,,ggs!,No,DMU,1,1,
5/26/2025 1:57:39,Parker D - Android77#15898,Chris Y - Yorke on Games#66909,2-1,,,,No,NEO,1,1,
5/26/2025 5:44:22,Georgii C - Yasunori#84481,Evan L - Evan#97713,2-1,,,,No,NEO,1,1,
5/26/2025 9:19:19,Evan L - Evan#97713,Joseph S - NotSham#89034,2-1,,,,No,BRO,1,1,
5/26/2025 10:16:26,Nolan F - Mordor#75624,Buster S - Hugester#31975,2-0,,,,No,MID,1,1,
5/26/2025 10:26:47,Nick A - Nistar#14127,Kevin I - Kni1993#29285,2-0,,,,No,BRO,1,1,
5/26/2025 10:49:39,Cody-Rayce MG - Rayce#56572,Buster S - Hugester#31975,2-0,,,ggs,No,DMU,1,1,
5/26/2025 11:02:21,DeWitt K - SeethingOctopus#02129,Lukas M - Finley_2k1#30925,2-1,,,,No,DMU,1,1,
5/26/2025 11:31:24,Eric S - Smitte#94855,Dominic M - domdoes#32489,2-0,,,,No,MID,1,1,
5/26/2025 12:22:18,Cody-Rayce MG - Rayce#56572,Eric S - Smitte#94855,2-1,,,ggs wp,Yes,MID,1,1,
5/26/2025 12:40:42,Caleb G - Whynaut#28590,Daniel L - Yellfior#73187,2-1,,,,No,SNC,1,1,
5/26/2025 13:50:54,Matthew H - Almost#13446,Cody-Rayce MG - Rayce#56572,2-1,,,,No,NEO,1,1,
5/26/2025 14:16:55,Lotte P - Lotte #93345,Jack H - Rakic#98298,2-1,,,,No,BRO,1,1,
5/26/2025 14:40:35,Sawyer T - soyboy#35469,Adam L - Rogan Josh#07504,2-0,,,,No,DMU,1,1,
5/26/2025 14:53:02,Nick A - Nistar#14127,Lotte P - Lotte #93345,2-0,,,,No,SNC,1,1,
5/26/2025 16:04:25,Emmett F - Sepulchure#51526,Chris P - Joker01#66827,2-1,,,,No,BRO,1,1,
5/26/2025 16:30:21,Brett C - EwoksRBae#03223,Daniel B - hmishima#77128,2-0,,,,No,DMU,1,1,
5/26/2025 16:46:52,Chris P - Joker01#66827,Joseph H - Sexcellence#51112,2-0,,,,Yes,NEO,1,1,
5/26/2025 19:07:10,Alex H - Merriman#08092,Jake K - drizzy_jake#02350,2-0,,,,No,BRO,1,1,
5/26/2025 19:07:30,Renaud C - ArExSea#25399,Christopher G - oompaloompa#65002,2-1,,,,Yes,SNC,1,1,
5/26/2025 19:24:16,Aaron R - Arn#51224,Austin L - letschanator#96536,2-0,,,,No,SNC,1,1,
5/26/2025 19:49:44,Emmett F - Sepulchure#51526,Mitchel S - SpaghettiMitch#18619,2-0,,,,No,MID,1,1,
5/26/2025 20:09:53,Daniel B - hmishima#77128,Maranda L - BlackCanary#59791,2-0,,,,No,STX,1,1,
5/26/2025 21:00:54,Ethan L - ethanndow#02818,Matt S - mullethunter324#49693,2-1,,,,No,STX,1,1,
5/26/2025 21:12:32,Kole D - Kole#38870,Parker D - Android77#15898,2-0,,,,No,BRO,1,1,
5/26/2025 21:33:58,Adam S - wizma#29010,Ethan L - ethanndow#02818,2-0,,,Thanks for the match!,No,NEO,1,1,
5/26/2025 21:42:21,Zack H - HackZolt#31077,Aaron R - Arn#51224,2-0,,,Best of luck on a bomb in this pack,No,MID,1,1,
5/26/2025 22:30:12,Joaquin E - DiabolicMachine#23891,Jacob B - Jacobbarnett15#95139,2-1,,,,No,NEO,1,1,
5/26/2025 23:06:18,Jack H - Rakic#98298,Joe T - elasticity#07466,2-1,,,,No,DMU,1,1,
5/26/2025 23:07:28,Ben M - cardmaaster#84341,Matt St - bubbasbums#70462,2-1,,,,No,MID,1,1,
5/27/2025 0:22:38,Daniel G - FriskyHobbit#43185,Ben M - cardmaaster#84341,2-1,,,,No,NEO,1,1,
5/27/2025 0:40:00,Preston B - Vorbis#46420,Emmett F - Sepulchure#51526,2-1,,,,Yes,BRO,1,1,
5/27/2025 11:16:12,Wyatt C - hotdolphin#30769,Quill M - Nocnoc#13791,2-1,,,,No,MID,1,1,
5/27/2025 11:43:05,Adam E - adamend#97520,Quill M - Nocnoc#13791,2-0,,,,No,DMU,1,1,
