Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?,Was this match a Duel?
5/3/2024 17:54:04,Jack H - Rakic#98298,Duncan M - RobRoyDuncan#16652,2-1,,1,,1,No
5/3/2024 18:00:44,Sawyer T - soyboy#35469,Dirk E - BegginBlue#16667,2-1,,1,,1,No
5/3/2024 18:06:40,Chris Y - Yorke on Games#66909,Paul G - TheDragon#61289,2-1,,1,vs Plenty o' Rhinos,1,No
5/3/2024 18:41:49,Dan H - dan12456#37617,Chris Y - Yorke on Games#66909,2-0,,1,,1,No
5/3/2024 18:47:19,Sawyer T - soyboy#35469,Paul G - TheDragon#61289,2-0,,1,,1,No
5/3/2024 19:06:44,Nick H - JetPilot#02453,Daniel G - FriskyHobbit#43185,2-0,,1,,1,No
5/3/2024 19:36:36,Alexandre GA - AGA#86404,Chris Y - Yorke on Games#66909,2-0,,1,,1,No
5/3/2024 19:45:58,Philip B - Plipster#75000,Dustin D - Bloone#16018,2-1,,1,,1,No
5/3/2024 20:17:16,Philip B - Plipster#75000,Nicholas K - Bionick#55161,2-1,,1,,1,No
5/3/2024 20:19:36,Dustin D - Bloone#16018,Johnny M - Johnny#69519,2-1,,1,,1,No
5/3/2024 20:28:12,Wei C - Azayaka#83352,Dirk E - BegginBlue#16667,2-0,,1,,1,No
5/3/2024 20:37:19,Jordan M - JMTron#46639,Nicholas K - Bionick#55161,2-0,,1,,1,No
5/3/2024 21:05:33,Bob P - HIT#08120,Lotte P - Lotte #93345,2-1,,1,ggs!,1,Yes
5/3/2024 21:06:09,Philip B - Plipster#75000,Alexis R - Lexabombtastic#98940,2-1,,1,,1,No
5/3/2024 21:18:49,Dustin D - Bloone#16018,Nicholas K - Bionick#55161,2-1,,1,,1,No
