Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
9/11/2023 20:13:29,Chris Y - Yorke on Games#66909,Phillip M - Fat_kitty#63794,2-0,,1,Feature match folies!,WOE,,,,,,
9/11/2023 20:38:13,Juan Q - JuanCu#95616,Zeke W - smarmyplatapus#30066,2-1,,1,,BRO,,,,,,
9/11/2023 20:58:16,Ben G - perrako#88435,Robert S - ricklepick#65878,2-1,,1,,WOE,,,,,,
9/11/2023 21:04:10,Phillip M - Fat_kitty#63794,Zeke W - smarmyplatapus#30066,2-0,,1,,BRO,,,,,,
9/11/2023 21:11:36,Adam S - wizma#29010,John P - gokuorgohome#51511,2-0,,1,Good games!!,WOE,,,,,,
9/11/2023 21:37:52,Juan Q - JuanCu#95616,Zach G - ShardZ#61812,2-0,,1,,WOE,,,,,,
9/11/2023 21:51:06,Noah B - Sisco#71800,Bob P - HIT#08120,2-0,,1,,MOM,,,,,,
9/11/2023 21:58:21,Mitchel S - SpaghettiMitch#18619,Phillip M - Fat_kitty#63794,2-0,,1,,WOE,,,,,,
9/11/2023 22:21:40,Juan Q - JuanCu#95616,Miguel B - Ethereus#60108,2-0,,1,,WOE,,,,,,
9/11/2023 22:34:41,Ron C - Lennor#52740,Caleb K - BlackEcho#09078,2-0,,1,Gg,WOE,,,,,,
9/11/2023 22:46:24,Joaquin E - DiabolicMachine#23891,Mike P - UnwieldyBiscuit#26471,2-1,,1,,WOE,,,,,,
9/11/2023 22:55:04,Ryan D - TheSlickness#10857,Steve T - strout#45062,2-1,,1,,WOE,,,,,,
9/11/2023 23:03:51,Chris P - Joker01#66827,Reed P - bigfingsnake#86869,2-0,,1,,WOE,,,,,,
9/11/2023 23:31:11,Jacob V - Drysle#29533,Mitchel S - SpaghettiMitch#18619,2-1,,1,,MOM,,,,,,
9/12/2023 0:09:50,Jacob V - Drysle#29533,Bob P - HIT#08120,2-0,,1,,WOE,,,,,,
9/12/2023 1:26:55,Pedro D - Goombassa#17203,Vera L - zhanidias#55352,2-0,,1,GGs,WOE,,,,,,
