Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack - must be ONE for Compleated players,,Punishment Pack choice?
2/24/2023 21:31:16,James T - RevisedIsland#19780,Lee B - MagicMorningBrew#76946,2-0,,1,GGs,BRO,,
2/24/2023 21:32:27,Troy R - Pengwin#05127,Jake C - the_man_mulcahey#74753,2-0,,1,,ONE,,
2/24/2023 21:34:18,Justin P - Code Pigeon#84057,Maxime R - Tasigurr#89921,2-0,,1,,ONE,,
2/24/2023 22:03:23,Jake C - the_man_mulcahey#74753,James T - RevisedIsland#19780,2-1,,1,,ONE,,
2/24/2023 22:06:42,Zeke W - smarmyplatapus#30066,Jaidin M - MnemonicDevice#38774,2-1,,1,turn 2 9 damage!,ONE,,
2/24/2023 22:29:36,Pierre-Marc D - pmduguay#67919,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,ONE,,
2/24/2023 23:08:05,Dan A - BEATDOWNBRINGA#04779,Rafael F - Prudent#24319,2-1,,1,,ONE,,
2/24/2023 23:21:35,Trevor F - treskies#75643,Pierre-Marc D - pmduguay#67919,2-1,,1,,VOW,,
2/24/2023 23:36:52,Steve T - strout#45062,Ron C - lennor#52740,2-1,,1,Ggs!,ONE,,
2/24/2023 23:52:23,Jeremy E - Lhurgoyf#37289,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,ONE,,
2/24/2023 23:53:43,Pierre-Marc D - pmduguay#67919,Damian S - ButCrackMagic#71223,2-0,,1,,ONE,,
2/25/2023 0:22:08,Dan A - BEATDOWNBRINGA#04779,Ron C - lennor#52740,2-1,,1,,ONE,,
2/25/2023 0:34:27,Jeremy E - Lhurgoyf#37289,Steve T - strout#45062,2-1,,1,,ONE,,
2/25/2023 8:04:55,Kevin I - kni1993#29285,Krzys H - FaceBeardMcBeard#24731,2-1,,1,Gg,ONE,,
2/25/2023 9:18:14,Eric S - Smitte#94855,Kevin I - kni1993#29285,2-0,,1,GG sorry bout the mana screw,BRO,,
2/25/2023 10:29:11,Adam S - Wizma#29010,Mason G - bear6875#02260,2-1,,1,"Incredible game, sorry I stole it!",ONE,,
2/25/2023 11:03:41,Rafael F - Prudent#24319,Johnny M - Johnny#69519,2-1,,1,,ONE,,
2/25/2023 11:28:54,Johnny M - Johnny#69519,Ron C - lennor#52740,2-0,,1,,ONE,,
2/25/2023 11:33:49,Paul G - TheDragon#61289,Amir A - HowDoesOneChoose#47480,2-1,,1,,ONE,,
2/25/2023 11:42:27,Anthony S - Kingboars#88381,Mike B - Xenomorph#62228,2-0,,1,,SNC,,
2/25/2023 11:48:39,Serge T - Sergyboy514#39979,Johnny M - Johnny#69519,2-0,,1,,ONE,,
2/25/2023 11:59:08,Chris Y - Yorke on Games#66909,Kevin I - kni1993#29285,2-0,,1,Good games!!,ONE,,
2/25/2023 12:56:04,Tim M - Ancra#27039,Mason G - bear6875#02260,2-0,,1,,ONE,,
2/25/2023 12:59:27,Ron C - lennor#52740,Kevin I - kni1993#29285,2-0,,1,Gg,ONE,,
2/25/2023 13:29:36,Jesse R - Zephaer#38941,Anthony S - Kingboars#88381,2-1,,1,,ONE,,
2/25/2023 13:39:09,Mason G - bear6875#02260,Mike B - Xenomorph#62228,2-1,,1,,SNC,,
2/25/2023 13:47:13,Benson P - sick beak#62405,Ryan D - TheSlickness#10857,2-0,,1,,ONE,,
2/25/2023 14:17:18,Lotte P - Lotte #93345,Mike P - UnwieldyBiscuit#26471,2-1,,1,,ONE,,
2/25/2023 14:17:55,Tim M - Ancra#27039,Anthony S - Kingboars#88381,2-1,,1,,ONE,,
2/25/2023 14:27:55,Jesse R - Zephaer#38941,Mason G - bear6875#02260,2-1,,1,,ONE,,
2/25/2023 14:46:44,Amir A - HowDoesOneChoose#47480,Lotte P - Lotte #93345,2-0,,1,,ONE,,
2/25/2023 14:53:55,Mason G - bear6875#02260,Anthony S - Kingboars#88381,2-0,,1,,ONE,,
2/25/2023 14:59:25,Amir A - HowDoesOneChoose#47480,Rafael F - Prudent#24319,2-0,,1,,ONE,,
2/25/2023 14:59:33,Ryan D - TheSlickness#10857,Côme S - C_SM#79564,2-1,,1,,ONE,,
